,sentence,nmb_sent,author,title
0,.,1,Валерий Горбань,Неуставной устав пехоты
1,.,2,Валерий Горбань,Неуставной устав пехоты
2,.,3,Валерий Горбань,Неуставной устав пехоты
3,.,4,Валерий Горбань,Неуставной устав пехоты
4,Часть 1.,5,Валерий Горбань,Неуставной устав пехоты
5,Организация политико-воспитательной работы.. .,6,Валерий Горбань,Неуставной устав пехоты
6,"На высотах, что под Грозным,.",7,Валерий Горбань,Неуставной устав пехоты
7,"Батальон один стоял..      Боевой, а не обозный -.",8,Валерий Горбань,Неуставной устав пехоты
8,"С Дагестана воевал..      Строил теплые землянки,.",9,Валерий Горбань,Неуставной устав пехоты
9,"Кашеварил и стирал,.",10,Валерий Горбань,Неуставной устав пехоты
10,На душманские подлянки.,11,Валерий Горбань,Неуставной устав пехоты
11,Адекватно отвечал:.,12,Валерий Горбань,Неуставной устав пехоты
12,"По тревоге поднимаясь,.",13,Валерий Горбань,Неуставной устав пехоты
13,Открывал народ стрельбу.,14,Валерий Горбань,Неуставной устав пехоты
14,Звонким матом поминая.,15,Валерий Горбань,Неуставной устав пехоты
15,"Нохчей, службу и судьбу..      Ели кашу из перловки.",16,Валерий Горбань,Неуставной устав пехоты
16,Чтобы голод превозмочь..      Громкий гул артподготовки.,17,Валерий Горбань,Неуставной устав пехоты
17,"Из землянок шел всю ночь....      Впрочем, быстро привыкали.",18,Валерий Горбань,Неуставной устав пехоты
18,"К нравам полевым простым,.",19,Валерий Горбань,Неуставной устав пехоты
19,Только иногда стреляли.,20,Валерий Горбань,Неуставной устав пехоты
20,"В них соседские посты..      Ночью тихой, да в тумане.",21,Валерий Горбань,Неуставной устав пехоты
21,"С перепугу бьют на звук,.",22,Валерий Горбань,Неуставной устав пехоты
