,sentence,nmb_sent,author,title
0,.,1,Даниил Корецкий,Смягчающие обстоятельства
1,.,2,Даниил Корецкий,Смягчающие обстоятельства
2,Изд.,3,Даниил Корецкий,Смягчающие обстоятельства
3,"Москва, ""Эксмо-пресс"", 1998.",4,Даниил Корецкий,Смягчающие обстоятельства
4,"OCR Палек & Alligator, 1998. .",5,Даниил Корецкий,Смягчающие обстоятельства
5,.,6,Даниил Корецкий,Смягчающие обстоятельства
6,.,7,Даниил Корецкий,Смягчающие обстоятельства
7,Глава первая.,8,Даниил Корецкий,Смягчающие обстоятельства
8,МОЗАИКА.,9,Даниил Корецкий,Смягчающие обстоятельства
9,.,10,Даниил Корецкий,Смягчающие обстоятельства
10,Слухи  буквально  душили  город.,11,Даниил Корецкий,Смягчающие обстоятельства
11,"Всегда сопутствующие пожарам, авариям,.",12,Даниил Корецкий,Смягчающие обстоятельства
12,"несчастным  случаям, оживленные  прямо пропорционально  необычности события,.",13,Даниил Корецкий,Смягчающие обстоятельства
13,"сейчас  они  бурлили  как  никогда --  настолько  чрезвычайным, из  ряда вон.",14,Даниил Корецкий,Смягчающие обстоятельства
14,"выходящим было происшествие..      -- У них еще за углом машина стояла,  а в ней три здоровенных битюга.... -- шептались на троллейбусной остановке..      --  Двести тысяч, жена в банке работает, в курсе дела... -- слышалось в. толпе у кинотеатра..      -- Так и написали: мол, и судью, и прокурора, и начальника милиции....      Вот уже несколько месяцев изощрялась взбудораженная фантазия обывателя,.",15,Даниил Корецкий,Смягчающие обстоятельства
