,sentence,nmb_sent,author,title
0,.,1,Лев Кожевников,Смерть прокурора
1,.,2,Лев Кожевников,Смерть прокурора
2,* ЧАСТЬ 1 * .,3,Лев Кожевников,Смерть прокурора
3,.,4,Лев Кожевников,Смерть прокурора
4,1. .,5,Лев Кожевников,Смерть прокурора
5,По пути на  разъезд  Андрей  Ходарев  завернул  к  старику.,6,Лев Кожевников,Смерть прокурора
6,Устинову под окна.,7,Лев Кожевников,Смерть прокурора
7,Крепко ударил в облупленный ставень..      -- Дед?,8,Лев Кожевников,Смерть прокурора
8,Эй!,9,Лев Кожевников,Смерть прокурора
9,Не помер еще?.,10,Лев Кожевников,Смерть прокурора
10,"В  окно  высунулась широченная, сивая борода, -- будто кто.",11,Лев Кожевников,Смерть прокурора
11,"подал из избы добрый навильник с сеном..      -- А-а... Андрюха, -- Устинов широко  зевнул,  перекрестил.",12,Лев Кожевников,Смерть прокурора
12,рот.,13,Лев Кожевников,Смерть прокурора
13,"-- Ходи в избу, что ли?.",14,Лев Кожевников,Смерть прокурора
14,"-- Некогда, дед.",15,Лев Кожевников,Смерть прокурора
15,"В другой раз..      Ходарев  перевесил  с  занемевшего  плеча рюкзак, Звякнуло.",16,Лев Кожевников,Смерть прокурора
16,железо..      -- Чего нагрузил в мешок-то?.,17,Лев Кожевников,Смерть прокурора
17,"-- Замки,  пять  штук,  --  соврал  Андрей,  хотя  старику.",18,Лев Кожевников,Смерть прокурора
18,"Устинову можно было не врать..      Дед помолчал, обдумывая, и не согласился..      --  Кабы  хужей не было.",19,Лев Кожевников,Смерть прокурора
