,sentence,nmb_sent,author,title
0,"-       ""Доктор, это случилось снова"".",1,Борис Акунин,Pstd
1,"Генерал  тяжело  опустился  на  кушетку, сцепил крепкие узловатые пальцы и горько покачал головой.",2,Борис Акунин,Pstd
2,"""Да, я видел по телевизору.",3,Борис Акунин,Pstd
3,- Соломон Борисович с участием  покивал.,4,Борис Акунин,Pstd
4,"- Вы располагайтесь на кушетке поудобнее, вытяните ноги.",5,Борис Акунин,Pstd
5,Сеанс  будет  долгим.,6,Борис Акунин,Pstd
6,"Признаться, я никогда еще не встречался с таким головоломным случаем.",7,Борис Акунин,Pstd
7,"Разве что в восемьдесят втором, когда еще работал в сфере  психотерапии.",8,Борис Акунин,Pstd
8,У  одной пациентки наблюдался странный синдром.,9,Борис Акунин,Pstd
9,Очень любила принимать гостей.,10,Борис Акунин,Pstd
10,"Целый день провозится у плиты,  наготовит  всяких  разносолов,  а  перед  тем  как подавать на стол, вдруг ощущает непреодолимый позыв плюнуть в каждое  блюдо.",11,Борис Акунин,Pstd
