,sentence,nmb_sent,author,title
0,"-      дикенсовский детектив  КАК СЕНЬКА ВПЕРВЫЕ УВИДАЛ СМЕРТЬ       Сначала-то ее, конечно, не так звали, а  обыкновенно,  как  полагается.",1,Борис Акунин,Любовник смерти
1,"Маланья там или, может, Агриппина.",2,Борис Акунин,Любовник смерти
2,И  фамилия  тоже  имелась.,3,Борис Акунин,Любовник смерти
3,Как  же  без фамилии?,4,Борис Акунин,Любовник смерти
4,"Это вон у Жучки, что по двору бегает, фамилии  нет,  а  у  человека беспременно должна быть, на то он и человек.",5,Борис Акунин,Любовник смерти
5,"Но когда Сенька Скорик ее впервые увидал,  прозванье  у  нее  было  уже нынешнее.",6,Борис Акунин,Любовник смерти
6,"Никто по-другому про нее не говорил, имени-фамилии не помнил.",7,Борис Акунин,Любовник смерти
7,"А увидал он ее так.      Сидели с пацанами на скамейке,  перед  дерюгинской  бакалейкой.",8,Борис Акунин,Любовник смерти
8,"Курили табак, лясы точили.",9,Борис Акунин,Любовник смерти
9,"Вдруг подъезжает шарабан: шины дутые, спицы в золотой  цвет  крашенные, верх желтой кожи.",10,Борис Акунин,Любовник смерти
