,sentence,nmb_sent,author,title
0,.,1,"Ольга Лаврова, Александр Лавров",Он где-то здесь
1,.,2,"Ольга Лаврова, Александр Лавров",Он где-то здесь
2,.,3,"Ольга Лаврова, Александр Лавров",Он где-то здесь
3,Яркий  летний день.,4,"Ольга Лаврова, Александр Лавров",Он где-то здесь
4,Высокое  небо.,5,"Ольга Лаврова, Александр Лавров",Он где-то здесь
5,"Крепкие, недавней  пост-ройки  дома.",6,"Ольга Лаврова, Александр Лавров",Он где-то здесь
6,"деревни сосед-ствуют с заколоченными избами в зарослях крапивы..      Артамонов, молодой  мужчина  в  модном  светлом костюме,  покинув серую.",7,"Ольга Лаврова, Александр Лавров",Он где-то здесь
7,"""Волгу"", подходит к избе, ко-торая слепыми  окнами смотрит из-за поваленного.",8,"Ольга Лаврова, Александр Лавров",Он где-то здесь
8,забора.,9,"Ольга Лаврова, Александр Лавров",Он где-то здесь
9,"Он озирает-ся, словно  впервые видит окружаю-щий пейзаж.",10,"Ольга Лаврова, Александр Лавров",Он где-то здесь
10,Лицо у него.,11,"Ольга Лаврова, Александр Лавров",Он где-то здесь
11,потрясен-ное.,12,"Ольга Лаврова, Александр Лавров",Он где-то здесь
12,Автомобильный гудок заставля-ет его очнуться.,13,"Ольга Лаврова, Александр Лавров",Он где-то здесь
13,"Шофер грузовика,.",14,"Ольга Лаврова, Александр Лавров",Он где-то здесь
14,"доверху  нагруженного ящиками  с  надписью  ""Не бросать!",15,"Ольга Лаврова, Александр Лавров",Он где-то здесь
15,""", дает понять,  что.",16,"Ольга Лаврова, Александр Лавров",Он где-то здесь
16,"легковушка мешает ему проехать..      Артамонов возвращается  к  ""Вол-ге""  и  подает назад,  освобождая  путь.",17,"Ольга Лаврова, Александр Лавров",Он где-то здесь
17,грузовику.,18,"Ольга Лаврова, Александр Лавров",Он где-то здесь
18,"А  затем рвет с места  и катит, катит прочь, не разбирая до-роги.. Проселок.",19,"Ольга Лаврова, Александр Лавров",Он где-то здесь
