,sentence,nmb_sent,author,title
0,.,1,Евгений Кукаркин,Рай
1,.,2,Евгений Кукаркин,Рай
2,.,3,Евгений Кукаркин,Рай
3,ПРОЛОГ.,4,Евгений Кукаркин,Рай
4,АД.,5,Евгений Кукаркин,Рай
5,"- Лекарь, вставай..      Меня тряс за плечо мой сосед по койке..      - Слышишь, - продолжил он, - наши начали..      Где-то  внизу  раздавался  грохот,  крики.",6,Евгений Кукаркин,Рай
6,Казарма  ходила  ходуном.,7,Евгений Кукаркин,Рай
7,"Я. натянул штаны, куртку и бросился за соседом вниз по лестнице..      - Лекарь, где лекарь?",8,Евгений Кукаркин,Рай
8,- заорал чей-то голос.,9,Евгений Кукаркин,Рай
9,- Лекаря сюда..      - Здесь он.,10,Евгений Кукаркин,Рай
10,"Здесь, - ответил криком сосед..      Меня схватили под локти и поволокли по второму этажу  в  угол,  где  на.",11,Евгений Кукаркин,Рай
11,койках  уже лежали два человека.,12,Евгений Кукаркин,Рай
12,"Грохнул выстрел, за ним дробью отразили эхо.",13,Евгений Кукаркин,Рай
13,"выстрелов  пулемета  с  вышки,  своды  казармы.",14,Евгений Кукаркин,Рай
14,Зазвенели  стекла.,15,Евгений Кукаркин,Рай
15,Кто-то.,16,Евгений Кукаркин,Рай
16,"закричал..      - Крошку, убили, - сказал кто-то у двери..      - Да  делай  же  ты  что-нибудь, - рядом со мной держа железный прут от.",17,Евгений Кукаркин,Рай
