,sentence,nmb_sent,author,title
0,.,1,Евгений Кукаркин,Уборщики ада
1,.,2,Евгений Кукаркин,Уборщики ада
2,.,3,Евгений Кукаркин,Уборщики ада
3,Военные  взбесились.,4,Евгений Кукаркин,Уборщики ада
4,Подавай  им  срочно офицеров-химиков запаса и все.,5,Евгений Кукаркин,Уборщики ада
5,тут.,6,Евгений Кукаркин,Уборщики ада
6,На первую повестку я плюнул.,7,Евгений Кукаркин,Уборщики ада
7,"Мало  того,  что  не  принял  ее  из  рук.",8,Евгений Кукаркин,Уборщики ада
8,"дрожащего  мальчика,  но еще ему дал пинка.",9,Евгений Кукаркин,Уборщики ада
9,"На звонки из военкомата, отвечал.",10,Евгений Кукаркин,Уборщики ада
10,"голосом Брежнева, что объект выехал в  неизвестном  направлении.",11,Евгений Кукаркин,Уборщики ада
11,На  вторую.,12,Евгений Кукаркин,Уборщики ада
12,"повестку, даже двери не открыл посыльному.",13,Евгений Кукаркин,Уборщики ада
13,А на третью.... .,14,Евгений Кукаркин,Уборщики ада
14,"- Костя, - меня встретила соседка Лизка у соседней к дому подворотни, -.",15,Евгений Кукаркин,Уборщики ада
15,"не ходи домой, там засада..      Лизка  девочка  хоть куда.",16,Евгений Кукаркин,Уборщики ада
16,Фигурка прелесть.,17,Евгений Кукаркин,Уборщики ада
17,На третьем курсе филфака и. явно неравнодушна ко мне..      - Откуда ты знаешь?.,18,Евгений Кукаркин,Уборщики ада
