,sentence,nmb_sent,author,title
0,.,1,"Ольга Лаврова, Александр Лавров",До третьего выстрела
1,.,2,"Ольга Лаврова, Александр Лавров",До третьего выстрела
2,.,3,"Ольга Лаврова, Александр Лавров",До третьего выстрела
3,"Они встретились  в  коридоре на Петровке, 38  --  Знаменский и стройная.",4,"Ольга Лаврова, Александр Лавров",До третьего выстрела
4,светловолосая  девушка в вязаном нарядном платье.,5,"Ольга Лаврова, Александр Лавров",До третьего выстрела
5,"Лицо было знакомое, и  Пал.",6,"Ольга Лаврова, Александр Лавров",До третьего выстрела
6,"Палыч поздоровался, но  не сразу  понял,  кто  она.",7,"Ольга Лаврова, Александр Лавров",До третьего выстрела
7,Прежде он видел девушку.,8,"Ольга Лаврова, Александр Лавров",До третьего выстрела
8,"только в  милицейской форме, когда бывал в Бутырке.",9,"Ольга Лаврова, Александр Лавров",До третьего выстрела
9,"Там, в проходной тюрьмы,.",10,"Ольга Лаврова, Александр Лавров",До третьего выстрела
10,"она сидела,  отгороженная  от посетителей  стеной  металлических прутьев,  а. посетители -- адвокаты  и следователи -- коллективно ухаживали за миловидной.",11,"Ольга Лаврова, Александр Лавров",До третьего выстрела
11,"дежурной, ведавшей вызовом аресто-ванных и распределением кабинетов..      Знаменский тоже  любил  поболтать  с  ней, знал,  что  учится заочно на.",12,"Ольга Лаврова, Александр Лавров",До третьего выстрела
12,"юрфаке,  и однажды обещал посоветовать, какую  выб-рать  специализацию после.",13,"Ольга Лаврова, Александр Лавров",До третьего выстрела
13,"диплома..      --  Вот  и  пришла  советоваться,  Пал Палыч,  --  девушка  с  улыб-кой.",14,"Ольга Лаврова, Александр Лавров",До третьего выстрела
