,sentence,nmb_sent,author,title
0,.,1,Евгений Кукаркин,Беженцы
1,.,2,Евгений Кукаркин,Беженцы
2,.,3,Евгений Кукаркин,Беженцы
3,"Если  бы  не  это  сраное  слово  ""перестройка"",  может  быть Союз и не.",4,Евгений Кукаркин,Беженцы
4,развалился и было бы в стране больше порядка.,5,Евгений Кукаркин,Беженцы
5,"Когда в нашей  чайхане,  вдруг.",6,Евгений Кукаркин,Беженцы
6,"Ибрагим,  отъявленный  бездельник,  плут и мошенник заявляет, что его родину.",7,Евгений Кукаркин,Беженцы
7,"закабалили русские, а бедные  туркмены  стали  их  прислужниками,  то  я  не.",8,Евгений Кукаркин,Беженцы
8,стерпел  и  врезал  ему  по  роже.,9,Евгений Кукаркин,Беженцы
9,И  что  же...  Окружающие туркмены стали.,10,Евгений Кукаркин,Беженцы
10,"возмущаться  и  пообещали  мне  отомстить,  а  русские  пьянчуги  ругали  за.",11,Евгений Кукаркин,Беженцы
11,"""национализм"".",12,Евгений Кукаркин,Беженцы
12,"Наши-то  хороши,  как будто не видят, что вокруг происходит.. Русских везде стали задирать, травить, грабить и даже  убивать,  а  они  как.",13,Евгений Кукаркин,Беженцы
