,sentence,nmb_sent,author,title
0,.,1,Михаил Березин,Кругом - сплошная ложь
1,.,2,Михаил Березин,Кругом - сплошная ложь
2,.,3,Михаил Березин,Кругом - сплошная ложь
3,.,4,Михаил Березин,Кругом - сплошная ложь
4,.,5,Михаил Березин,Кругом - сплошная ложь
5,"Сейчас в Лорет де Мар, как и на всем побережье.",6,Михаил Березин,Кругом - сплошная ложь
6,"Испании, полно русских.",7,Михаил Березин,Кругом - сплошная ложь
7,Несколько же лет назад.,8,Михаил Березин,Кругом - сплошная ложь
8,"завоевание средиземноморских курортов ""Ермаком"".",9,Михаил Березин,Кругом - сплошная ложь
9,только начиналось....  .,10,Михаил Березин,Кругом - сплошная ложь
10,.,11,Михаил Березин,Кругом - сплошная ложь
11,.,12,Михаил Березин,Кругом - сплошная ложь
12,ГЛАВА  1.  .,13,Михаил Березин,Кругом - сплошная ложь
13,.,14,Михаил Березин,Кругом - сплошная ложь
14,.,15,Михаил Березин,Кругом - сплошная ложь
15,.,16,Михаил Березин,Кругом - сплошная ложь
16,Буэнос диас1!.,17,Михаил Березин,Кругом - сплошная ложь
17,Залитый солнцем Лорет де Мар лежит перед моими.,18,Михаил Березин,Кругом - сплошная ложь
18,глазами.,19,Михаил Березин,Кругом - сплошная ложь
19,А за ним раскинулось изумрудное Средиземное море..   Очень милый город этот Лорет.,20,Михаил Березин,Кругом - сплошная ложь
20,Масса бассейнов.,21,Михаил Березин,Кругом - сплошная ложь
21,и баров с прохладительными напитками.,22,Михаил Березин,Кругом - сплошная ложь
22,"А по вечерам к вашим услугам дискотеки,.",23,Михаил Березин,Кругом - сплошная ложь
23,"рестораны, гольф-клубы, кегельбаны, залы игровых автоматов и многое, многое.",24,Михаил Березин,Кругом - сплошная ложь
24,другое.,25,Михаил Березин,Кругом - сплошная ложь
25,Неподалеку от ресторанов стоят зазывалы с рекламными проспектами.,26,Михаил Березин,Кругом - сплошная ложь
