,sentence,nmb_sent,author,title
0,.,1,Даниил Корецкий,Оперативный псевдоним
1,.,2,Даниил Корецкий,Оперативный псевдоним
2,Изд.,3,Даниил Корецкий,Оперативный псевдоним
3,"МОСКВА, ""ЭКСМО-ПРЕСС"", 1998.",4,Даниил Корецкий,Оперативный псевдоним
4,"ОCR Палек & Alligator, 1998. .",5,Даниил Корецкий,Оперативный псевдоним
5,.,6,Даниил Корецкий,Оперативный псевдоним
6,.,7,Даниил Корецкий,Оперативный псевдоним
7,* Часть I. ЗАПАСНОЙ УРОВЕНЬ * .,8,Даниил Корецкий,Оперативный псевдоним
8,.,9,Даниил Корецкий,Оперативный псевдоним
9,.,10,Даниил Корецкий,Оперативный псевдоним
10,.,11,Даниил Корецкий,Оперативный псевдоним
11,Глава первая.,12,Даниил Корецкий,Оперативный псевдоним
12,ВНЕШНИЕ РАЗДРАЖИТЕЛИ.,13,Даниил Корецкий,Оперативный псевдоним
13,.,14,Даниил Корецкий,Оперативный псевдоним
14,"Тиходонск, 7 февраля 1997  года, 17 часов 40 минут, температура воздуха.",15,Даниил Корецкий,Оперативный псевдоним
15,минус 12 градусов по Цельсию..      Жизнь все сильней брала за горло мозолистой рукой.,16,Даниил Корецкий,Оперативный псевдоним
16,"Настолько холодной и. жесткой,  что иногда  казалось, будто это костлявая  хватка  смерти.",17,Даниил Корецкий,Оперативный псевдоним
17,"Старые,.",18,Даниил Корецкий,Оперативный псевдоним
18,"выношенные  ботинки не  защищали от холода, так же как  вытертое пальтецо  и. облезшая  до самой кроличьей шкуры некогда меховая шапка.",19,Даниил Корецкий,Оперативный псевдоним
19,Если  бы выхлебать.,20,Даниил Корецкий,Оперативный псевдоним
20,тарелку густого борща с хлебом да навернуть картохи под селедочку и стопарик.,21,Даниил Корецкий,Оперативный псевдоним
21,водки  --  сразу бы  потеплело.,22,Даниил Корецкий,Оперативный псевдоним
