,sentence,nmb_sent,author,title
0,.,1,Евгений Кукаркин,Трофейщик
1,.,2,Евгений Кукаркин,Трофейщик
2,.,3,Евгений Кукаркин,Трофейщик
3,ЛЕС.. .,4,Евгений Кукаркин,Трофейщик
4,Июль 1987г.. .,5,Евгений Кукаркин,Трофейщик
5,"- Ну, здравствуй, Самсонов..      Из кустов вышел одетый в гражданское капитан Николаев.",6,Евгений Кукаркин,Трофейщик
6,В руке он держал.,7,Евгений Кукаркин,Трофейщик
7,недоеденную булку с колбасой..      - Давно тебя жду.,8,Евгений Кукаркин,Трофейщик
8,Никак ты сегодня с большим уловом?.,9,Евгений Кукаркин,Трофейщик
9,Сзади  меня  хрустнула  ветка.,10,Евгений Кукаркин,Трофейщик
10,"На тропинке стояли два здоровых парня, с. равнодушными физиономиями..      - Ты не снимай рюкзак, пройдемся до машины и там разберемся..      В почетном окружении, с нехорошим предчувствием, я двинулся к дороге.",11,Евгений Кукаркин,Трофейщик
11,"У. черной ""Волги"" мы остановились..      - Ну, что там у тебя, показывай..      Я снял рюкзак и раскрыл его..      - Ого, - сказал капитан и вытащил за ствол  ""шмайсер"",  -  Ты  посмотри.",12,Евгений Кукаркин,Трофейщик
