,sentence,nmb_sent,author,title
0,.,1,Валерий Горбань,Авитаминоз
1,.,2,Валерий Горбань,Авитаминоз
2,"Вот и закончилась наша первая ночь в Грозном..      Закончилась без суеты, без страха.",3,Валерий Горбань,Авитаминоз
3,"И если поцокали мои  орлы зубами, то.",4,Валерий Горбань,Авитаминоз
4,"не из-за пулявшей всю ночь  по блоку ""биатлонки"", а  от  неожиданного  после.",5,Валерий Горбань,Авитаминоз
5,"вчерашней дневной жары ночного заморозка..      Так что, командир, через левое плечо  поплюй, но,  похоже, можешь  себя.",6,Валерий Горбань,Авитаминоз
6,поздравить..      Пусть  командировка  только начинается.,7,Валерий Горбань,Авитаминоз
7,Пусть  это  всего  лишь одна из.,8,Валерий Горбань,Авитаминоз
8,предназначенных твоему отряду сорока пяти  ночей.,9,Валерий Горбань,Авитаминоз
9,Пусть война в любой момент.,10,Валерий Горбань,Авитаминоз
10,может подкинуть любой страшный сюрприз..      А все-таки - ты готов.,11,Валерий Горбань,Авитаминоз
11,И орлы твои готовы.. .,12,Валерий Горбань,Авитаминоз
12,"А солнышко снова шпарит..      Воспоминания о ночном заморозке вместе с потом  из-под ""Сферы"" солеными.",13,Валерий Горбань,Авитаминоз
