,sentence,nmb_sent,author,title
0,.,1,Валерий Горбань,Стихи
1,.,2,Валерий Горбань,Стихи
2,МЫ ПРИДЕМ НА МОГИЛЫ БРАТИШЕК.... .,3,Валерий Горбань,Стихи
3,"Мы придем на могилы братишек,.",4,Валерий Горбань,Стихи
4,"Как положено, стопки нальем,.",5,Валерий Горбань,Стихи
5,"И расскажем на веки затихшим,.",6,Валерий Горбань,Стихи
6,Как без них мы на свете живем.. .,7,Валерий Горбань,Стихи
7,"Как тоскуют их жены и мамы,.",8,Валерий Горбань,Стихи
8,"Как детишки растут без отцов,.",9,Валерий Горбань,Стихи
9,"И оставим под хлебом сто граммов,.",10,Валерий Горбань,Стихи
10,И рассыплем охапки цветов.. .,11,Валерий Горбань,Стихи
11,"Для салюта возьмем боевые,.",12,Валерий Горбань,Стихи
12,Ведь они не боятся свинца....      Пусть увидят их души святые.,13,Валерий Горбань,Стихи
13,Бога-Сына и Бога-Отца.. .,14,Валерий Горбань,Стихи
14,.,15,Валерий Горбань,Стихи
15,.,16,Валерий Горбань,Стихи
16,.,17,Валерий Горбань,Стихи
17,ПЕСЕНКА О ДВАДЦАТОМ БЛОКЕ.,18,Валерий Горбань,Стихи
18,.,19,Валерий Горбань,Стихи
19,.,20,Валерий Горбань,Стихи
20,Дрожащий красный огонек.,21,Валерий Горбань,Стихи
21,"Ползет от рукава к лицу....      И враг готов послать ""привет"".",22,Валерий Горбань,Стихи
