,sentence,nmb_sent,author,title
0,--.,1,Рауль Мир-Хайдаров,Судить буду я
1,.,2,Рауль Мир-Хайдаров,Судить буду я
2,I. .,3,Рауль Мир-Хайдаров,Судить буду я
3,"Пока человек со  свежим шрамом на лбу, припадая на левую ногу, одолевал.",4,Рауль Мир-Хайдаров,Судить буду я
4,"просторный  холл ресторана ""Лидо"",  принаряженного к Новому  году, у Миршаба.",5,Рауль Мир-Хайдаров,Судить буду я
5,"мгновенно  пересохло в горле,  и  он  остро почувствовал, как не хватает ему.",6,Рауль Мир-Хайдаров,Судить буду я
6,воздуха.,7,Рауль Мир-Хайдаров,Судить буду я
7,"Бросив  взгляд  на  бармена  за  стойкой,  сказал,  пытаясь  унять.",8,Рауль Мир-Хайдаров,Судить буду я
8,волнение:.,9,Рауль Мир-Хайдаров,Судить буду я
9,"-- Налей побыстрее чего-нибудь....      Но фраза  не получилась  спокойной, нервно свело скулы, и оттого  слова.",10,Рауль Мир-Хайдаров,Судить буду я
10,"прозвучали, тревожно, просительно  --  куда  подевались обычная  властность,.",11,Рауль Мир-Хайдаров,Судить буду я
11,металл в голосе?,12,Рауль Мир-Хайдаров,Судить буду я
12,"Тревога читалась и на вмиг осунувшемся,  бледном лице, хотя.",13,Рауль Мир-Хайдаров,Судить буду я
13,"Салим Хасанович умел себя держать, и бармен прекрасно знал это..      Странный хромой посетитель, осушивший  подряд две  стопки водки, вселил.",14,Рауль Мир-Хайдаров,Судить буду я
