,sentence,nmb_sent,author,title
0,"      Сейчас в Лорет де Мар, как и на всем побережье   Испании, полно русских.",1,Михаил Березин,Кругом - сплошная ложь
1,"Несколько же лет назад  завоевание средиземноморских курортов ""Ермаком""  только начиналось...     ГЛАВА  1         Буэнос диас1!",2,Михаил Березин,Кругом - сплошная ложь
2,Залитый солнцем Лорет де Мар лежит перед моими глазами.,3,Михаил Березин,Кругом - сплошная ложь
3,А за ним раскинулось изумрудное Средиземное море.,4,Михаил Березин,Кругом - сплошная ложь
4,Очень милый город этот Лорет.,5,Михаил Березин,Кругом - сплошная ложь
5,Масса бассейнов и баров с прохладительными напитками.,6,Михаил Березин,Кругом - сплошная ложь
6,"А по вечерам к вашим услугам дискотеки, рестораны, гольф-клубы, кегельбаны, залы игровых автоматов и многое, многое другое.",7,Михаил Березин,Кругом - сплошная ложь
7,Неподалеку от ресторанов стоят зазывалы с рекламными проспектами и пристают к прохожим.,8,Михаил Березин,Кругом - сплошная ложь
8,"Можно чудесно провести время, если есть деньги.",9,Михаил Березин,Кругом - сплошная ложь
9,Но как раз с деньгами у меня не густо.,10,Михаил Березин,Кругом - сплошная ложь
