,sentence,nmb_sent,author,title
0,.,1,Виктор Леденев,Адская машина
1,.,2,Виктор Леденев,Адская машина
2,.,3,Виктор Леденев,Адская машина
3,Пролог.. .,4,Виктор Леденев,Адская машина
4,Энский аэродром военно-транспортной авиации.,5,Виктор Леденев,Адская машина
5,1 мая 1968 года.. .,6,Виктор Леденев,Адская машина
6,.,7,Виктор Леденев,Адская машина
7,.,8,Виктор Леденев,Адская машина
8,Автобус   медленно  подъехал  к  КПП.,9,Виктор Леденев,Адская машина
9,Дежурный  офицер  покосился  на.,10,Виктор Леденев,Адская машина
10,"задернутые эанавесками окна и потребовал освободить салон..      -- Вы что, на пляж приехали?",11,Виктор Леденев,Адская машина
11,Выйти всем  и проходить через КПП.,12,Виктор Леденев,Адская машина
12,"Бегом,.",13,Виктор Леденев,Адская машина
13,марш!.,14,Виктор Леденев,Адская машина
14,В автобусе никто не шелохнулся.,15,Виктор Леденев,Адская машина
15,"Дежурный начал  медленно  багроветь, но.",16,Виктор Леденев,Адская машина
16,спас его от преждевременного инфаркта посыльный из штаба.,17,Виктор Леденев,Адская машина
17,Дежурный  прочитал.,18,Виктор Леденев,Адская машина
18,записку и махнул рукой..      -- Проезжайте..      Автобус и  следовавшая за ним  грузовая  машина медленно покатили вдоль.,19,Виктор Леденев,Адская машина
19,аэродрома.,20,Виктор Леденев,Адская машина
20,Грузовик направился к стоявшему  на рулежной дорожке  пятнистому.,21,Виктор Леденев,Адская машина
