,sentence,nmb_sent,author,title
0,        Военные  взбесились.,1,Евгений Кукаркин,Уборщики ада
1,Подавай  им  срочно офицеров-химиков запаса и все тут.,2,Евгений Кукаркин,Уборщики ада
2,На первую повестку я плюнул.,3,Евгений Кукаркин,Уборщики ада
3,"Мало  того,  что  не  принял  ее  из  рук дрожащего  мальчика,  но еще ему дал пинка.",4,Евгений Кукаркин,Уборщики ада
4,"На звонки из военкомата, отвечал голосом Брежнева, что объект выехал в  неизвестном  направлении.",5,Евгений Кукаркин,Уборщики ада
5,"На  вторую повестку, даже двери не открыл посыльному.",6,Евгений Кукаркин,Уборщики ада
6,"А на третью...       - Костя, - меня встретила соседка Лизка у соседней к дому подворотни, - не ходи домой, там засада.",7,Евгений Кукаркин,Уборщики ада
7,Лизка  девочка  хоть куда.,8,Евгений Кукаркин,Уборщики ада
8,Фигурка прелесть.,9,Евгений Кукаркин,Уборщики ада
9,На третьем курсе филфака и явно неравнодушна ко мне.,10,Евгений Кукаркин,Уборщики ада
10,- Откуда ты знаешь?,11,Евгений Кукаркин,Уборщики ада
11,"- Милиция нас расспрашивала о тебе, а потом спрятались в парадной.",12,Евгений Кукаркин,Уборщики ада
