,sentence,nmb_sent,author,title
0,        Она глядела на меня с гневом и презрением.,1,Евгений Кукаркин,Кристалл
1,"- Простите, но я нечаянно.",2,Евгений Кукаркин,Кристалл
2,"Она сходила с автобуса и я, идя за ней, нечаянно наступил на ее длинную юбку, которая удачно легла на ступеньки под мои  ноги.",3,Евгений Кукаркин,Кристалл
3,"Юбка  порвалась,  по всей длинные, вдоль левого бедра.",4,Евгений Кукаркин,Кристалл
4,Девушка придерживала его рукой.,5,Евгений Кукаркин,Кристалл
5,"- Я  живу в этом доме с мамой.- продолжил я- Пойдемте, мама поможет вам зашить юбку.",6,Евгений Кукаркин,Кристалл
6,"- Идите вы....      Она заколебалась, попробовала шагнуть, но разрез юбки разошелся и белая комбинация мелькнула снегом на черном фоне.",7,Евгений Кукаркин,Кристалл
7,- А впрочем... Ваша мама сейчас дома?,8,Евгений Кукаркин,Кристалл
8,- Да не бойтесь.,9,Евгений Кукаркин,Кристалл
9,Там она.,10,Евгений Кукаркин,Кристалл
10,Пойдемте.,11,Евгений Кукаркин,Кристалл
