,sentence,nmb_sent,author,title
0,"       Автор  этой детективной  повести не  писатель-профессионал,  а  ученый, хорошо известный в научных кругах.",1,Леонид Бобров,Нас было тринадцать
1,По его просьбе подлинная фамилия заменена здесь псевдонимом.,2,Леонид Бобров,Нас было тринадцать
2,"ГЛАВА I       Нас было  тринадцать,  нет,  тогда еще  только двенадцать,  сотрудников физической лаборатории, затерянной в пустынных горах Западного  Памира.",3,Леонид Бобров,Нас было тринадцать
3,"Зима наступала, извещая о своем приближении ураганными ветрами, ночными морозами, внезапными вихрями мокрого снега и града.",4,Леонид Бобров,Нас было тринадцать
4,Обед только  что кончился.,5,Леонид Бобров,Нас было тринадцать
5,В нашей столовой-библиотеке- комнате отдыха было тепло и уютно.,6,Леонид Бобров,Нас было тринадцать
6,Расходиться не хотелось.,7,Леонид Бобров,Нас было тринадцать
7,Я подошел к столу.,8,Леонид Бобров,Нас было тринадцать
8,Темные тучи неслись почти над крышей  нашего  дома.,9,Леонид Бобров,Нас было тринадцать
9,Изредка сквозь разрывы  проглядывал бледно- оранжевый диск  солнца.,10,Леонид Бобров,Нас было тринадцать
10,"Завыл ветер, и крупные градины  забарабанили по стеклу.",11,Леонид Бобров,Нас было тринадцать
