,sentence,nmb_sent,author,title
0,.,1,Владимир Лавришко,Там есть такая штучка...
1,.,2,Владимир Лавришко,Там есть такая штучка...
2,.,3,Владимир Лавришко,Там есть такая штучка...
3,"""Жигуленок"" сел  крепко.",4,Владимир Лавришко,Там есть такая штучка...
4,"Парфенов  открыл  дверцу,  взглянул  что  там.",5,Владимир Лавришко,Там есть такая штучка...
5,"делается сзади, еще раз нажал  на педаль акселератора, и  его окатило жидкой.",6,Владимир Лавришко,Там есть такая штучка...
6,грязью..      - Приехали.,7,Владимир Лавришко,Там есть такая штучка...
7,"- Он  достал из-под сиденья скомканную тряпку, вытер лицо и. с минуту  соображал, как быть  дальше.",8,Владимир Лавришко,Там есть такая штучка...
8,На лобовом стекле подрагивал осиновый.,9,Владимир Лавришко,Там есть такая штучка...
9,листок.,10,Владимир Лавришко,Там есть такая штучка...
10,Листок у корешка пожух и свернулся в трубочку..      - Где сидим?,11,Владимир Лавришко,Там есть такая штучка...
11,"- спросил Парфенов..      Карта всегда лежала у жены на коленях..      Краем глаза он отметил, что за полдня они хорошо подвинулись к северу..      По крыше машины не спеша накрапывал дождь..      -  Я же  говорила, не надо  сворачивать.",12,Владимир Лавришко,Там есть такая штучка...
12,- Жена передернула плечами.,13,Владимир Лавришко,Там есть такая штучка...
