,sentence,nmb_sent,author,title
0,.,1,Валерий Горбань,Малыш и волк
1,.,2,Валерий Горбань,Малыш и волк
2,"Малыш плакал..      Нет, конечно, он не рыдал взахлеб, как институтка.",3,Валерий Горбань,Малыш и волк
3,Но  соленая влага на.,4,Валерий Горбань,Малыш и волк
4,"сей раз текла не только из под раскисшей и  почерневшей подбивки Сферы, но и. из зажмуренных в  отчаянии глаз.",5,Валерий Горбань,Малыш и волк
5,Зеленый флаг с  грубо  намалеванным волком.,6,Валерий Горбань,Малыш и волк
6,торчал из отдушины чердачного  окна.,7,Валерий Горбань,Малыш и волк
7,"Ледяной февральский ветер колыхал его и. казалось, что волк нагло подмигивает и пощелкивает пастью, как бы говоря:.",8,Валерий Горбань,Малыш и волк
8,"Ну что, съел?.",9,Валерий Горбань,Малыш и волк
9,"Больше всего на свете хотелось  завыть,  как воет  лунными ночами  этот.",10,Валерий Горбань,Малыш и волк
10,зверь.,11,Валерий Горбань,Малыш и волк
11,"Но сзади, тяжело дыша, попадали на обледенелый рубероид  его  друзья.. Стыдно.",12,Валерий Горбань,Малыш и волк
12,"И уж если выть, то всей стаей..      А еще он очень-очень, прямо-таки страстно хотел бы сейчас увидеть рядом.",13,Валерий Горбань,Малыш и волк
