,sentence,nmb_sent,author,title
0,        Наконец-то  мы  прибыли  в  Малакку.,1,Евгений Кукаркин,Горечь победы
1,"Напряжение перехода сразу спало и матросы загомонили,  пытаясь  правдами  и  неправдами  выбраться  на  палубу посмотреть  на незнакомый город-порт.",2,Евгений Кукаркин,Горечь победы
2,Я привел себя в порядок и отправился в город  на   представление   командующему   объединенными   силами   адмиралу Макрейзеру.,3,Евгений Кукаркин,Горечь победы
3,Мне  быстро  подсказали  куда проехать.,4,Евгений Кукаркин,Горечь победы
4,"Здание штаба ВМОС находилось на горе, откуда весь город был как на ладони.",5,Евгений Кукаркин,Горечь победы
5,Адмирал встретил тепло и непринужденно.,6,Евгений Кукаркин,Горечь победы
6,- Хотите что-нибудь горяченькое.,7,Евгений Кукаркин,Горечь победы
7,У меня есть отличный кофе.,8,Евгений Кукаркин,Горечь победы
8,"Сам  жарил, сам и варил.",9,Евгений Кукаркин,Горечь победы
9,"- Спасибо, господин адмирал.",10,Евгений Кукаркин,Горечь победы
10,Не надо.,11,Евгений Кукаркин,Горечь победы
11,Уж больно очень жарко.,12,Евгений Кукаркин,Горечь победы
12,"- Давно   ждем  вас,  господин  капитан  третьего  ранга.",13,Евгений Кукаркин,Горечь победы
