,sentence,nmb_sent,author,title
0,"   ИЛИ СЛЮНЯВАЯ СОБАЧКА ПАТИ          Боже, как хочется в туалет.",1,Евгений Кукаркин,Курсы повышения квалификации
1,Моя паршивая машина  еле-еле  ползет  возле тротуара  и  я  взглядом  выискиваю  необходимое  заведение.,2,Евгений Кукаркин,Курсы повышения квалификации
2,Заветная буква мелькнула на грязной двери.,3,Евгений Кукаркин,Курсы повышения квалификации
3,Скрипят тормоза и я  тут  же  посылаю  проклятия всему  городу  и  прежде  всего  мэру.,4,Евгений Кукаркин,Курсы повышения квалификации
4,"Ниже  буквы лоскут бумаги с надписью ""ремонт"".",5,Евгений Кукаркин,Курсы повышения квалификации
5,"Опять продвигаюсь вперед и вот они, две  двери,  щедро  отделанные под  орех.",6,Евгений Кукаркин,Курсы повышения квалификации
6,"Под  буквой  ""М"", метализированная надпись ""Туалет платный.",7,Евгений Кукаркин,Курсы повышения квалификации
7,"Вход 10000 рублей"".",8,Евгений Кукаркин,Курсы повышения квалификации
8,Еще ниже лоскут бумаги с типографским текстом.,9,Евгений Кукаркин,Курсы повышения квалификации
9,"""Производится набор  на  платные  трех  недельные  курсы  повышения  квалификации торговых работников.",10,Евгений Кукаркин,Курсы повышения квалификации
10,По окончании курсов выдается сертификат международного  значения с  правом  работать  во  всех странах мира и СНГ.,11,Евгений Кукаркин,Курсы повышения квалификации
