,sentence,nmb_sent,author,title
0,.,1,Виктор Леденев,Последний полет
1,.,2,Виктор Леденев,Последний полет
2,"Я никогда не слыхал о таком преступлении,.",3,Виктор Леденев,Последний полет
3,которое не мог бы совершить сам..      Гете.. .,4,Виктор Леденев,Последний полет
4,.,5,Виктор Леденев,Последний полет
5,"Двухмоторная ""Сессна-302"" взвыла двигателями и медленно покатилась по.",6,Виктор Леденев,Последний полет
6,"зеленому полю аэродрома, увлекая  за собой краснокрылый  планер.",7,Виктор Леденев,Последний полет
7,Техник.,8,Виктор Леденев,Последний полет
8,"некоторое  время бежал, поддерживая крыло планера, пока оно не почувствовало.",9,Виктор Леденев,Последний полет
9,набегающий поток воздуха и не  приняло его.,10,Виктор Леденев,Последний полет
10,"""Сессна"" еще заканчивала разбег,.",11,Виктор Леденев,Последний полет
11,"а  легкий планер уже парил,  пока еще привязанный к самолету  легким тросом.. Как пара весенних уток,  самолет и планер  большими кругами набирали высоту.. Наконец  пилот планера  почувствовал плотный удар  теплого  воздуха  снизу и. радостно прокричал пилоту ""Сессны"": ""Есть!",12,Виктор Леденев,Последний полет
