,sentence,nmb_sent,author,title
0,.,1,Виктор Леденев,Кораблекрушение
1,.,2,Виктор Леденев,Кораблекрушение
2,.,3,Виктор Леденев,Кораблекрушение
3,На тихим лесным озером медленно сгущались сумерки.,4,Виктор Леденев,Кораблекрушение
4,"Солнце  еще светило,.",5,Виктор Леденев,Кораблекрушение
5,"почти касаясь горизонта, но его лучи уже  потускнели и  лениво  отражались в. спокойной, почти черной в это время воде.",6,Виктор Леденев,Кораблекрушение
6,Легкий ветерок иногда давал о себе.,7,Виктор Леденев,Кораблекрушение
7,"знать пятнами ряби то  здесь, то  там, но так же  быстро и стыдливо  утихал,.",8,Виктор Леденев,Кораблекрушение
8,будто не смея потревожить подступающий сон озера....      Рыбацкие лодки и катера стояли в неподвижной воде с застывшими фигурами.,9,Виктор Леденев,Кораблекрушение
9,"рыболовов, и  лишь  изредка  это спокойствие  нарушалось  резкой подсечкой и. трепыханием  пойманной  рыбы.",10,Виктор Леденев,Кораблекрушение
10,"Хозяин рыболовного приюта  ""Нордске"" сидел на.",11,Виктор Леденев,Кораблекрушение
11,"веранде  своей  небольшой  гостиницы  и  наблюдал в  бинокль  за  клиентами.. Гостиница и эллинг были весьма скромными, да и доходы приносили тоже не ахти.",12,Виктор Леденев,Кораблекрушение
