,sentence,nmb_sent,author,title
0,.,1,"Ольга Лаврова, Александр Лавров","Расскажи, расскажи, бродяга"
1,.,2,"Ольга Лаврова, Александр Лавров","Расскажи, расскажи, бродяга"
2,"Постановление  о продлении  срока следствия было состав-лено  загодя, и. утром Знамен-ский направился к начальнику  отде-ла Скопину.",3,"Ольга Лаврова, Александр Лавров","Расскажи, расскажи, бродяга"
3,Туда же тянулись.,4,"Ольга Лаврова, Александр Лавров","Расскажи, расскажи, бродяга"
4,по одному и другие -- был день  визиро-вания отсрочек.,5,"Ольга Лаврова, Александр Лавров","Расскажи, расскажи, бродяга"
5,Пружинистой поход-кой.,6,"Ольга Лаврова, Александр Лавров","Расскажи, расскажи, бродяга"
6,"джигита прорысил Леонидзе; вероятно, заканителил что-нибудь по лени,  обычно.",7,"Ольга Лаврова, Александр Лавров","Расскажи, расскажи, бродяга"
7,"он укладывался в отведенный месяц..      Скопин держал наготове ручку и уже занес ее над местом, где полага-лось.",8,"Ольга Лаврова, Александр Лавров","Расскажи, расскажи, бродяга"
8,"расписаться, но поднял льви-ную голову с крупными красивыми чертами..      -- Зачем тебе?",9,"Ольга Лаврова, Александр Лавров","Расскажи, расскажи, бродяга"
9,"-- спросил недо-уменно..      Знаменский пожал плечами, словно извиняясь..      Как передать  те смутные  впечат-ления,  даже  еще  не  впечатления,  а. неразборчивые  сигналы, восприни-маемые  за  порогом слышимости и видимости.. Они  ощущались,  может  быть,  кожей, может быть, сетчат-кой... или вызывали.",10,"Ольга Лаврова, Александр Лавров","Расскажи, расскажи, бродяга"
10,непривычный привкус во рту.,11,"Ольга Лаврова, Александр Лавров","Расскажи, расскажи, бродяга"
