,sentence,nmb_sent,author,title
0,"        Роман  ""На  свободное место""  удостоен премии Всесоюзного литературного конкурса Союза писателей СССР и  Министерства внутренних дел за  1982 год на лучшую книгу о советской милиции.",1,Аркадий Григорьевич Адамов,На свободное место
1,"Трилогия  ""Инспектор  Лосев""  награждена Золотой  медалью  имени  Героя Советского Союза Н.Кузнецова за  лучшее героико-приключенческое произведение 1981 года, учрежденной СП РСФСР и ПО Уралмашзавод.",2,Аркадий Григорьевич Адамов,На свободное место
2,Оглавление       Глава I. Ловушка      Глава II.,3,Аркадий Григорьевич Адамов,На свободное место
3,Ищем чуму      Глава III.,4,Аркадий Григорьевич Адамов,На свободное место
4,Возникает некий Гвимар Иванович      Глава IV.,5,Аркадий Григорьевич Адамов,На свободное место
5,Странные события во дворе одного дома      Глава V. Путь ведет непонятно куда      Глава VI.,6,Аркадий Григорьевич Адамов,На свободное место
6,Всякие исчезновения и прочие неудачи      Глава VII.,7,Аркадий Григорьевич Адамов,На свободное место
7,Опять не самая приятная командировка      Глава VIII.,8,Аркадий Григорьевич Адамов,На свободное место
8,Кое-что становится понятно      Глава IX.,9,Аркадий Григорьевич Адамов,На свободное место
9,"Все, что имеет свое начало, имеет и конец                                     Глава I                                  ЛОВУШКА       Сегодня  понедельник.",10,Аркадий Григорьевич Адамов,На свободное место
