,sentence,nmb_sent,author,title
0,.,1,Сергей Гайдуков,Вендетта по-русски
1,.,2,Сергей Гайдуков,Вендетта по-русски
2,"Человека сбивает машина, но это похоже скорее на хладнокровное.",3,Сергей Гайдуков,Вендетта по-русски
3,"убийство, чем на несчастный случай..      Сына этого человека находят в петле, но вряд ли это самоубийство..      Частный детектив Константин Шумов, расследующий обстоятельства.",4,Сергей Гайдуков,Вендетта по-русски
4,"этих смертей, выходит на след убийц, но доказать их вину очень.",5,Сергей Гайдуков,Вендетта по-русски
5,сложно.,6,Сергей Гайдуков,Вендетта по-русски
6,"Тем более что смерть словно играет с сыщиком в прятки,.",7,Сергей Гайдуков,Вендетта по-русски
7,"то,опережая его на пару шагов, а то неотступно идя за ним по пятам,.",8,Сергей Гайдуков,Вендетта по-русски
8,"- Костю ""заказали"" киллеру-профессионалу Филину.",9,Сергей Гайдуков,Вендетта по-русски
9,Но настоящий.,10,Сергей Гайдуков,Вендетта по-русски
10,сыщик должен любой ценой - пусть даже очень жестокой - довести.,11,Сергей Гайдуков,Вендетта по-русски
11,дело до конца.. .,12,Сергей Гайдуков,Вендетта по-русски
12,Пролог.,13,Сергей Гайдуков,Вендетта по-русски
13,.,14,Сергей Гайдуков,Вендетта по-русски
14,"Это  непременно должно было  случиться и я  удивился, что случилось это.",15,Сергей Гайдуков,Вендетта по-русски
