,sentence,nmb_sent,author,title
0,.,1,Валерий Горбань,Кангауз
1,.,2,Валерий Горбань,Кангауз
2,.,3,Валерий Горбань,Кангауз
3,.,4,Валерий Горбань,Кангауз
4,.,5,Валерий Горбань,Кангауз
5,"Ах, Кангауз, Кангауз!.",6,Валерий Горбань,Кангауз
6,"Правда  это,  или  нет,  но  поговаривают,  что  в  переводе  то  ли  с. удэгейского,  то  ли  с китайского вполне справедливо  звучит  твое имя, как.",7,Валерий Горбань,Кангауз
7,"Солнечная Долина..      Ах,  Кангауз!",8,Валерий Горбань,Кангауз
8,Рубленные  избушки  и палаточный  городок  биологической.,9,Валерий Горбань,Кангауз
9,станции   Дальневосточного   госуниверситета.,10,Валерий Горбань,Кангауз
10,"Больше   сотни   студентов  и. студенток, собирающих гербарии, гоняющихся с сачками за редкими махаонами  и. Аполлонами ..      О, Кангауз!",11,Валерий Горбань,Кангауз
11,"Радостные концерты птиц, благоухающие поляны фантастически.",12,Валерий Горбань,Кангауз
12,"крупной земляники, шкодные руки парней, ловко  забрасывающие сочные бордовые.",13,Валерий Горбань,Кангауз
13,"ягоды туда, где дамы всего  мира и всех времен прячут любовные  записочки от.",14,Валерий Горбань,Кангауз
14,не-скромных  глаз.,15,Валерий Горбань,Кангауз
15,"Песни под  гитару у костра, гостеприимные  душистые стога.",16,Валерий Горбань,Кангауз
