,sentence,nmb_sent,author,title
0,"                                     Если ты в день бедствия оказался слабым,                                   То бедна сила твоя.",1,Чингиз Абдуллаев,Символы распада
1,"Притчи, 24, 10   НАЧАЛО     Он  взглянул  на  часы.",2,Чингиз Абдуллаев,Символы распада
2,Уже  половина  десятого.,3,Чингиз Абдуллаев,Символы распада
3,Неужели  встреча  не состоится?,4,Чингиз Абдуллаев,Символы распада
4,"Он сжал губы, твердо решив ждать столько, сколько  понадобится.",5,Чингиз Абдуллаев,Символы распада
5,В конце концов этот кретин обязан появиться.,6,Чингиз Абдуллаев,Символы распада
6,"Если учесть, что  их  встречи всегда проходят в неудобное для обоих время и случаются не так уж и часто, можно предположить, что  и  эта  произойдет  со  значительным  опозданием.",7,Чингиз Абдуллаев,Символы распада
7,"Впрочем,  за  последний  год  он  уже  привык  к  необязательности  своего партнера.",8,Чингиз Абдуллаев,Символы распада
8,Однако сегодня тот не может не прийти.,9,Чингиз Абдуллаев,Символы распада
9,"У него, кажется, все  уже получилось, и  теперь  нужно  только  обговорить  последние  условия.",10,Чингиз Абдуллаев,Символы распада
